fpr,tpr,threshold
0.181,0.8879492600422833,0.5538671306315993
0.181,0.8890063424947146,0.5507022823265915
0.183,0.8890063424947146,0.5476477553571459
0.183,0.8921775898520085,0.541822085665829
0.185,0.8921775898520085,0.5360369033004694
0.185,0.8974630021141649,0.5259395581575369
0.186,0.8974630021141649,0.5235776770749663
0.186,0.9006342494714588,0.5185963300430427
0.191,0.9006342494714588,0.5112895882124414
0.191,0.9016913319238901,0.5112710675272633
0.193,0.9016913319238901,0.5091787600285763
0.193,0.9027484143763214,0.5059090393858537
0.194,0.9027484143763214,0.5050419620308708
0.194,0.9069767441860465,0.5
0.194,0.9154334038054969,0.4723301214261565
0.195,0.9154334038054969,0.47009621280437464
0.195,0.919661733615222,0.4640672801722414
0.201,0.919661733615222,0.45351241958349875
0.201,0.9207188160676533,0.44949940754258294
0.203,0.9207188160676533,0.44912934976614716
0.203,0.9217758985200846,0.4487996238549821
0.205,0.9217758985200846,0.4429824417518997
0.205,0.9228329809725159,0.44158773754433156
0.206,0.9228329809725159,0.4411902177266712
0.206,0.9249471458773785,0.4395668742084657
0.207,0.9249471458773785,0.4319939460653719
0.207,0.9260042283298098,0.42745532583391316
0.208,0.9260042283298098,0.4270811757764326
0.208,0.927061310782241,0.42630178987382944
0.211,0.927061310782241,0.407158201005314
0.211,0.9291754756871036,0.4006425984152007
0.212,0.9291754756871036,0.3969399848410507
0.212,0.9302325581395349,0.3961626175410943
0.215,0.9302325581395349,0.38309405647689604
0.215,0.9312896405919662,0.37901274816601166
0.217,0.9312896405919662,0.36976389750716826
0.217,0.9323467230443975,0.3679787382697264
0.218,0.9323467230443975,0.36503601635380417
0.218,0.9334038054968288,0.3603862092945847
0.223,0.9334038054968288,0.3449348437269201
0.223,0.9344608879492601,0.3394009553750892
0.224,0.9344608879492601,0.3304661728470345
0.224,0.9365750528541226,0.3156254723580767
0.226,0.9365750528541226,0.3086850765223416
0.226,0.9386892177589852,0.30585266850555914
0.227,0.9386892177589852,0.3034550855811808
0.227,0.9408033826638478,0.3025064385564288
0.229,0.9408033826638478,0.29866140918417866
0.229,0.9418604651162791,0.2966064320158538
0.23,0.9418604651162791,0.2961136556460831
0.23,0.9429175475687104,0.29504424759945264
0.233,0.9429175475687104,0.2833947043158733
